Entry,Category
Your laugh is one of my favourite sounds in the world,Something I love about you
How adorable you are when you are ti ti,Here's a little something I love about you
"Literally anything, it's always fun with you",Here is a thing I love doing with you
You make even the smallest things fun and interesting,Here's a little something I love about you
The spa in Bath for your date,Here's a memory of us I love
Your sense of humour,Here's a little something I love about you
Staying up until the sunrise talking,Here's a memory of us I love
How incredibly caring you are,Here's a little something I love about you
How ambitious you are,Something I love about you
Every single little thing you do (is magic),Here's a little something I love about you
Waking up next to you,Here is a thing I love doing with you
The way you dress,Something I love about you
Being the small spoon,Here is a thing I love doing with you
Fun times in the pool in Mallorca,A memory I love
You make awesome friends,Here's a little something I love about you
The way you look at me,Something I love about you
Tell you I love you,Something I am so excited to do with you
Your eyelashes,Here's a little something I love about you
Fighting over who gets to pay for things,Something I love doing with you
Cooking,A thing I love doing with you
Picking Guosto recipes,A thing I love doing with you
How incredibly sexy you are,Here's a little something I love about you
How cute you are when you yawn,Something I love about you
Canoeing in Wales,A memory I love
When you fall asleep while we watch something,Something I love doing with you
Find a flat for us,Here's something I can't wait to do with you
How much you love dogs,Here's a little something I love about you
Your sense of style and fashion,Here's a little something I love about you
Your eyes,Something I love about you
Getting a tiny puppy doggie,Here's a little something I am so excited to do with you
heyhey fun in cheddar gorge,A memory I love
Being silly in the shower,Here is a thing I love doing with you
The happy booty wiggles,Something I love about you
Absolutely everything about you,Here's a little something I love about you
Being the big spoon,Something I love doing with you
The warm baths in Budapest,A memory I love
Playing badminton with you at uni,A memory I love
Fall asleep next to you,Here's a little something I am so excited to do with you
You're unbelievably beautiful,Something I love about you
Go to New Zealand,Here's a little something I can't wait to do with you
When we cuddled all night long on the couch,Here's a memory of us I love
Bath bomb and champagne,Here's a memory of us I love
How successful I know you are going to be,Here's a little something I love about you
Kiss you,Something I am so excited to do with you
Your smile,Here's a little something I love about you
Your cooking,Something I love about you
You have great taste,Something I love about you
Exploring new places with you,Something I love doing with you
How much you enjoy cooking,Here's a little something I love about you
The first time I kissed you,A memory I love
Dinner in cheddar gorge,Here's a memory of ours I love
Giving you a massage,Here's a memory of us I love
You're so smart,Something I love about you
The first time I told you I love you,Here's a memory of us I love
Falling asleep with you,Something I love doing with you
Cuddling,Here is a thing I love doing with you
hm hm,Something I love doing with you
Explore all kinds of places,Here's a little something I am so excited to do with you
The way you smell,Something I love about you
You are so chill and fun and happy to be around,Here's a little something I love about you
Being sillies together,Something I love doing with you
Road trip in Mallorca,Here's a memory of us I love
Working on our dissertations together,A memory I love
Playing trivial pursuit with you in Stansbatch,Here's a memory of us I love
New years with you,A memory I love
"Your hair, it's so beautiful",One of the many many things I love about you is
Having a hangover day,A thing I love doing with you
When you call me right after you wake up,Something I look forward to
The drive home together from Cheddar Gorge where I felt so in love with you,A memory I love
How adorable you were as a baby (even if you disagree),I love this about you
You beating me in backgammon,A memory I love
Our hmhm debriefings,Something I love doing with you
Baking with you,Something I love doing with you
How much you care about your family,I love this about you
Dying in Computer Algebra with you,A memory I (mostly) love
Listening to Abba,Something I love doing with you
Playing secret footsie,A memory I love
I can never ever get enough of you,Something I love about you
Using Computer Algebra as an excuse to cuddle (and make out),A memory I love
You're always fresh and beautiful,Something I love about you
Talking about our future together and getting so excited,I love doing this with you
Cuddling and watching the office,A memory I love
All those times I looked at you and knew I was falling for you,A memory I love
Your family is awesome,Something I love about you
Getting coffee together at LimeTree #DissLife,A memory I love
Playing ping pong together,A memory of ours I love
Cooking for my family together,Something I really enjoy doing with you
Going out for dinner and drinks in Paris with you,A memory of ours I love
That you are French and Lebanese (but sneakily Italian),Something I love about you
Getting super excited about food together,Something I love doing with you
Coming back from Singapore to live with you in Hackney,Something I loved doing with you
You are always willing to do nice things for people and help them,I love this about you
Living with you next year (and forever),I am super excited about
Waking up in the middle of the night to tell you I love you and smooch you,Something I look forward to
That you are learning Danish,I love this about you
Going skiiing with you,Something I am so excited to do with you
Going to Winter Wonderland with you,A memory I love
Going to the airBnB in Denmark,I love this memory
How much you like Denmark,Something I love about you
Having a soirée with Tommy and your friends in Paris,A memory I love
Going to dinner with your mom,Here's a memory of ours I love
You get along so well with my friends (because you are amazing and everyone loves you),I love this about you
Going to the flower market in Hackney with you,A memory I love
Going to the board game café with you in London,I love this memory
