,Entry,Category
0,The way you laugh,Here's a little something I love about you
1,How adorable you are when you are ti ti,Here's a little something I love about you
2,Literally anything,Here is a thing I love doing with you
3,You make even the smallest things fun and interesting,Here's a little something I love about you
4,The spa in Bath for your date,Here's a memory of us I love
5,Your humour,Here's a little something I love about you
6,Staying up until the sunrise talking,Here's a memory of us I love
7,How incredibly caring you are,Here's a little something I love about you
8,How ambitious you are,Something I love about you
9,Every single little thing you do,Here's a little something I love about you
10,Waking up next to you,Here is a thing I love doing with you
11,The way you dress,Something I love about you
12,Being the small spoon,Here is a thing I love doing with you
13,Fun times in the pool in Mallorca,A memory I love
14,You make awesome friends,Here's a little something I love about you
15,The way you look at me,Something I love about you
16,Tell you I love you,Something I am so excited to do with you
17,Your eyelashes,Here's a little something I love about you
18,Fighting over who gets to pay for things,Something I love doing with you
19,Cooking,Here is a thing I love doing with you
20,Picking Guosto recipes,Here is a thing I love doing with you
21,How incredibly sexy you are,Here's a little something I love about you
22,How cute you look yawning,Something I love about you
23,Canoeing in Wales,A memory I love
24,When you fall asleep while we watch something,Something I love doing with you
25,Find a flat for us,Here's something I can't wait to do with you
26,How much you love dogs,Here's a little something I love about you
27,Your style is awesome,Here's a little something I love about you
28,Your eyes,Something I love about you
29,Getting a tiny puppy doggie,Here’s a little something I am so excited to do with you
30,heyhey fun in cheddar gorge,A memory I love
31,Being silly in the shower,Here is a thing I love doing with you
32,The happy booty wiggles,Something I love about you
33,Absolutely everything about you,Here's a little something I love about you
34,Being the big spoon,Something I love doing with you
35,The warm baths in Budapest,A memory I love
36,Playing badminton with you at uni,A memory I love
37,Fall asleep next to you,Here’s a little something I am so excited to do with you
38,You're unbelievably beautiful,Something I love about you
39,Go to New Zealand,Here's a little something I can't wait to do with you
40,When we cuddled all night long on the couch,Here's a memory of us I love
41,Bath bomb and champagne,Here's a memory of us I love
42,How successful I know you are going to be,Here's a little something I love about you
43,Kiss you,Something I am so excited to do with you
44,Your smile,Here's a little something I love about you
45,Your cooking,something I love about you
46,You have great taste,Something I love about you
47,Exploring new places with you,Something I love doing with you
48,How much you enjoy cooking,Here's a little something I love about you
49,The first time I kissed you,A memory I love
50,Dinner in cheddar gorge,Here's a memory of ours I love
51,Massage,Here's a memory of us I love
52,You're so smart,Something I love about you
53,The first time I told you I love you,Here's a memory of us I love
54,Falling asleep with you,Something I love doing with you
55,Cuddling,Here is a thing I love doing with you
56,hm hm,Something I love doing with you
57,Explore all kinds of places,Here’s a little something I am so excited to do with you
58,The way you smell,Something I love about you
59,You are so chill and fun and happy to be around,Here's a little something I love about you
60,Being silly with you,Something I love doing with you
61,Road trip in Mallorca,Here's a memory of us I love
62,Working on our dissertations together,A memory I love
63,Playing trivial pursuit with you in Stansbatch,Here's a memory of us I love
